eTable 8. Spearman associations bewtween Species versus SCFAs metabolites,,,,
,,,,
Short chain fatty acid,Species,rho,p-value,FDR
Acetic acid,Alistipes onderdonkii,0.0549,0.649,0.945
Butyric acid,Alistipes onderdonkii,0.113,0.347,0.877
Isobutyric acid,Alistipes onderdonkii,-0.0669,0.579,0.931
Isovaleric acid,Alistipes onderdonkii,0.0264,0.827,0.979
Propionic acid ,Alistipes onderdonkii,-0.0554,0.646,0.944
Acetic acid,Alistipes putredinis,0.0851,0.48,0.908
Butyric acid,Alistipes putredinis,-0.122,0.311,0.87
Isobutyric acid,Alistipes putredinis,0.0288,0.812,0.975
Isovaleric acid,Alistipes putredinis,0.00946,0.938,0.994
Propionic acid ,Alistipes putredinis,-0.0554,0.646,0.944
Acetic acid,Alistipes senegalensis,0.242,0.0419,0.845
Butyric acid,Alistipes senegalensis,-0.0523,0.665,0.947
Isobutyric acid,Alistipes senegalensis,0.107,0.376,0.883
Isovaleric acid,Alistipes senegalensis,0.17,0.157,0.845
Propionic acid ,Alistipes senegalensis,0.153,0.203,0.845
Acetic acid,Alistipes shahii,0.172,0.152,0.845
Butyric acid,Alistipes shahii,0.0288,0.811,0.974
Isobutyric acid,Alistipes shahii,0.0422,0.727,0.964
Isovaleric acid,Alistipes shahii,0.137,0.254,0.859
Propionic acid ,Alistipes shahii,0.153,0.204,0.845
Acetic acid,Alistipes sp HGB5,-0.109,0.364,0.878
Butyric acid,Alistipes sp HGB5,-0.138,0.25,0.859
Isobutyric acid,Alistipes sp HGB5,-0.23,0.0533,0.845
Isovaleric acid,Alistipes sp HGB5,0.00274,0.982,0.999
Propionic acid ,Alistipes sp HGB5,-0.187,0.118,0.845
Acetic acid,Alistipes unclassified,0.119,0.324,0.874
Butyric acid,Alistipes unclassified,0.0123,0.919,0.992
Isobutyric acid,Alistipes unclassified,0.141,0.24,0.856
Isovaleric acid,Alistipes unclassified,0.101,0.404,0.891
Propionic acid ,Alistipes unclassified,0.175,0.144,0.845
Acetic acid,Anaerostipes caccae,NA,NA,NA
Butyric acid,Anaerostipes caccae,NA,NA,NA
Isobutyric acid,Anaerostipes caccae,NA,NA,NA
Isovaleric acid,Anaerostipes caccae,NA,NA,NA
Propionic acid ,Anaerostipes caccae,NA,NA,NA
Acetic acid,Anaerostipes hadrus,0.00169,0.989,1
Butyric acid,Anaerostipes hadrus,0.137,0.254,0.859
Isobutyric acid,Anaerostipes hadrus,-0.0185,0.878,0.986
Isovaleric acid,Anaerostipes hadrus,-0.00848,0.944,0.995
Propionic acid ,Anaerostipes hadrus,-0.0665,0.582,0.932
Acetic acid,Anaerostipes unclassified,0.134,0.265,0.859
Butyric acid,Anaerostipes unclassified,0.146,0.225,0.85
Isobutyric acid,Anaerostipes unclassified,0.192,0.108,0.845
Isovaleric acid,Anaerostipes unclassified,0.192,0.108,0.845
Propionic acid ,Anaerostipes unclassified,0.198,0.0974,0.845
Acetic acid,Anaerotruncus colihominis,0.000776,0.995,1
Butyric acid,Anaerotruncus colihominis,0.218,0.0681,0.845
Isobutyric acid,Anaerotruncus colihominis,0.0258,0.831,0.98
Isovaleric acid,Anaerotruncus colihominis,0.0307,0.8,0.974
Propionic acid ,Anaerotruncus colihominis,-0.031,0.798,0.974
Acetic acid,Anaerotruncus unclassified,-0.0467,0.699,0.956
Butyric acid,Anaerotruncus unclassified,0.0262,0.828,0.98
Isobutyric acid,Anaerotruncus unclassified,-0.0612,0.612,0.94
Isovaleric acid,Anaerotruncus unclassified,-0.163,0.174,0.845
Propionic acid ,Anaerotruncus unclassified,-0.163,0.174,0.845
Acetic acid,Bacteroidales bacterium ph8,0.122,0.311,0.87
Butyric acid,Bacteroidales bacterium ph8,0.0694,0.565,0.925
Isobutyric acid,Bacteroidales bacterium ph8,0.047,0.697,0.956
Isovaleric acid,Bacteroidales bacterium ph8,0.082,0.497,0.908
Propionic acid ,Bacteroidales bacterium ph8,-0.0266,0.826,0.979
Acetic acid,Bacteroides caccae,0.103,0.391,0.885
Butyric acid,Bacteroides caccae,0.00935,0.938,0.994
Isobutyric acid,Bacteroides caccae,0.102,0.397,0.888
Isovaleric acid,Bacteroides caccae,0.138,0.253,0.859
Propionic acid ,Bacteroides caccae,0.185,0.122,0.845
Acetic acid,Bacteroides cellulosilyticus,-0.106,0.379,0.883
Butyric acid,Bacteroides cellulosilyticus,-0.0533,0.659,0.947
Isobutyric acid,Bacteroides cellulosilyticus,-0.206,0.0848,0.845
Isovaleric acid,Bacteroides cellulosilyticus,-0.0773,0.522,0.915
Propionic acid ,Bacteroides cellulosilyticus,-0.136,0.259,0.859
Acetic acid,Bacteroides clarus,0.224,0.0604,0.845
Butyric acid,Bacteroides clarus,0.0603,0.618,0.941
Isobutyric acid,Bacteroides clarus,0.247,0.0375,0.845
Isovaleric acid,Bacteroides clarus,0.189,0.115,0.845
Propionic acid ,Bacteroides clarus,0.0899,0.456,0.904
Acetic acid,Bacteroides coprocola,-0.235,0.0488,0.845
Butyric acid,Bacteroides coprocola,-0.195,0.104,0.845
Isobutyric acid,Bacteroides coprocola,-0.125,0.3,0.868
Isovaleric acid,Bacteroides coprocola,-0.122,0.311,0.87
Propionic acid ,Bacteroides coprocola,-0.118,0.327,0.874
Acetic acid,Bacteroides coprophilus,0.21,0.0786,0.845
Butyric acid,Bacteroides coprophilus,0.182,0.13,0.845
Isobutyric acid,Bacteroides coprophilus,0.0207,0.864,0.983
Isovaleric acid,Bacteroides coprophilus,0.151,0.207,0.845
Propionic acid ,Bacteroides coprophilus,0.14,0.245,0.857
Acetic acid,Bacteroides dorei,-0.106,0.38,0.883
Butyric acid,Bacteroides dorei,-0.167,0.163,0.845
Isobutyric acid,Bacteroides dorei,-0.206,0.0848,0.845
Isovaleric acid,Bacteroides dorei,-0.126,0.297,0.866
Propionic acid ,Bacteroides dorei,-0.32,0.00654,0.845
Acetic acid,Bacteroides eggerthii,-0.0308,0.799,0.974
Butyric acid,Bacteroides eggerthii,0.216,0.0708,0.845
Isobutyric acid,Bacteroides eggerthii,-0.0752,0.533,0.917
Isovaleric acid,Bacteroides eggerthii,-0.0119,0.921,0.992
Propionic acid ,Bacteroides eggerthii,0.02,0.869,0.985
Acetic acid,Bacteroides faecis,0.157,0.192,0.845
Butyric acid,Bacteroides faecis,-0.199,0.0968,0.845
Isobutyric acid,Bacteroides faecis,0.182,0.13,0.845
Isovaleric acid,Bacteroides faecis,-0.00194,0.987,1
Propionic acid ,Bacteroides faecis,0.092,0.445,0.897
Acetic acid,Bacteroides finegoldii,0.0466,0.699,0.956
Butyric acid,Bacteroides finegoldii,0.0217,0.858,0.983
Isobutyric acid,Bacteroides finegoldii,0.0809,0.503,0.908
Isovaleric acid,Bacteroides finegoldii,0.0234,0.846,0.98
Propionic acid ,Bacteroides finegoldii,-0.0682,0.572,0.927
Acetic acid,Bacteroides fluxus,-0.0531,0.66,0.947
Butyric acid,Bacteroides fluxus,0.0124,0.918,0.992
Isobutyric acid,Bacteroides fluxus,-0.194,0.105,0.845
Isovaleric acid,Bacteroides fluxus,-0.0716,0.553,0.925
Propionic acid ,Bacteroides fluxus,-0.241,0.0426,0.845
Acetic acid,Bacteroides fragilis,-0.127,0.291,0.866
Butyric acid,Bacteroides fragilis,0.0868,0.472,0.906
Isobutyric acid,Bacteroides fragilis,-0.0829,0.492,0.908
Isovaleric acid,Bacteroides fragilis,-0.0663,0.583,0.932
Propionic acid ,Bacteroides fragilis,-0.176,0.141,0.845
Acetic acid,Bacteroides gallinarum,0.129,0.285,0.863
Butyric acid,Bacteroides gallinarum,0.143,0.236,0.855
Isobutyric acid,Bacteroides gallinarum,0.182,0.129,0.845
Isovaleric acid,Bacteroides gallinarum,0.152,0.205,0.845
Propionic acid ,Bacteroides gallinarum,0.00667,0.956,0.996
Acetic acid,Bacteroides intestinalis,0.148,0.218,0.85
Butyric acid,Bacteroides intestinalis,-0.145,0.228,0.852
Isobutyric acid,Bacteroides intestinalis,0.262,0.0273,0.845
Isovaleric acid,Bacteroides intestinalis,0.144,0.23,0.852
Propionic acid ,Bacteroides intestinalis,0.00515,0.966,0.996
Acetic acid,Bacteroides massiliensis,-0.0958,0.427,0.894
Butyric acid,Bacteroides massiliensis,0.00734,0.952,0.996
Isobutyric acid,Bacteroides massiliensis,-0.117,0.333,0.874
Isovaleric acid,Bacteroides massiliensis,0.0178,0.883,0.986
Propionic acid ,Bacteroides massiliensis,-0.0156,0.898,0.99
Acetic acid,Bacteroides nordii,0.0549,0.649,0.945
Butyric acid,Bacteroides nordii,0.0818,0.498,0.908
Isobutyric acid,Bacteroides nordii,0.194,0.105,0.845
Isovaleric acid,Bacteroides nordii,0.11,0.363,0.878
Propionic acid ,Bacteroides nordii,0.139,0.246,0.858
Acetic acid,Bacteroides ovatus,-0.0946,0.433,0.894
Butyric acid,Bacteroides ovatus,-0.0154,0.898,0.99
Isobutyric acid,Bacteroides ovatus,-0.172,0.152,0.845
Isovaleric acid,Bacteroides ovatus,-0.15,0.213,0.85
Propionic acid ,Bacteroides ovatus,-0.131,0.275,0.863
Acetic acid,Bacteroides pectinophilus,0.00596,0.961,0.996
Butyric acid,Bacteroides pectinophilus,0.105,0.383,0.883
Isobutyric acid,Bacteroides pectinophilus,-0.0852,0.48,0.908
Isovaleric acid,Bacteroides pectinophilus,-0.074,0.54,0.92
Propionic acid ,Bacteroides pectinophilus,0.14,0.243,0.856
Acetic acid,Bacteroides plebeius,0.168,0.162,0.845
Butyric acid,Bacteroides plebeius,-0.0328,0.786,0.971
Isobutyric acid,Bacteroides plebeius,0.134,0.265,0.859
Isovaleric acid,Bacteroides plebeius,0.229,0.0544,0.845
Propionic acid ,Bacteroides plebeius,0.163,0.173,0.845
Acetic acid,Bacteroides salyersiae,0.0552,0.648,0.945
Butyric acid,Bacteroides salyersiae,-0.179,0.136,0.845
Isobutyric acid,Bacteroides salyersiae,-0.119,0.322,0.874
Isovaleric acid,Bacteroides salyersiae,0.0323,0.789,0.972
Propionic acid ,Bacteroides salyersiae,-0.109,0.365,0.878
Acetic acid,Bacteroides sp 3 2 5,-0.111,0.358,0.877
Butyric acid,Bacteroides sp 3 2 5,-0.07,0.562,0.925
Isobutyric acid,Bacteroides sp 3 2 5,-0.163,0.174,0.845
Isovaleric acid,Bacteroides sp 3 2 5,-0.0408,0.735,0.964
Propionic acid ,Bacteroides sp 3 2 5,-0.14,0.244,0.856
Acetic acid,Bacteroides sp 4 3 47FAA,-0.0804,0.505,0.908
Butyric acid,Bacteroides sp 4 3 47FAA,0.249,0.0364,0.845
Isobutyric acid,Bacteroides sp 4 3 47FAA,-0.0199,0.869,0.985
Isovaleric acid,Bacteroides sp 4 3 47FAA,-0.00702,0.954,0.996
Propionic acid ,Bacteroides sp 4 3 47FAA,-0.0844,0.484,0.908
Acetic acid,Bacteroides stercoris,-0.117,0.333,0.874
Butyric acid,Bacteroides stercoris,-0.185,0.122,0.845
Isobutyric acid,Bacteroides stercoris,-0.134,0.265,0.859
Isovaleric acid,Bacteroides stercoris,-0.023,0.849,0.981
Propionic acid ,Bacteroides stercoris,-0.218,0.0674,0.845
Acetic acid,Bacteroides thetaiotaomicron,0.00766,0.949,0.996
Butyric acid,Bacteroides thetaiotaomicron,-0.0638,0.597,0.934
Isobutyric acid,Bacteroides thetaiotaomicron,-0.0996,0.409,0.891
Isovaleric acid,Bacteroides thetaiotaomicron,-0.109,0.365,0.878
Propionic acid ,Bacteroides thetaiotaomicron,-0.0349,0.773,0.968
Acetic acid,Bacteroides uniformis,0.162,0.177,0.845
Butyric acid,Bacteroides uniformis,-0.0609,0.614,0.94
Isobutyric acid,Bacteroides uniformis,0.0407,0.736,0.964
Isovaleric acid,Bacteroides uniformis,0.221,0.0635,0.845
Propionic acid ,Bacteroides uniformis,-0.00312,0.979,0.999
Acetic acid,Bacteroides vulgatus,-0.116,0.334,0.874
Butyric acid,Bacteroides vulgatus,-0.239,0.0443,0.845
Isobutyric acid,Bacteroides vulgatus,-0.166,0.165,0.845
Isovaleric acid,Bacteroides vulgatus,-0.205,0.0865,0.845
Propionic acid ,Bacteroides vulgatus,-0.166,0.166,0.845
Acetic acid,Bacteroides xylanisolvens,0.0501,0.678,0.953
Butyric acid,Bacteroides xylanisolvens,-0.0847,0.482,0.908
Isobutyric acid,Bacteroides xylanisolvens,0.122,0.31,0.87
Isovaleric acid,Bacteroides xylanisolvens,0.136,0.258,0.859
Propionic acid ,Bacteroides xylanisolvens,-0.0758,0.53,0.915
Acetic acid,Barnesiella intestinihominis,0.234,0.05,0.845
Butyric acid,Barnesiella intestinihominis,-0.139,0.246,0.858
Isobutyric acid,Barnesiella intestinihominis,0.107,0.375,0.883
Isovaleric acid,Barnesiella intestinihominis,0.189,0.113,0.845
Propionic acid ,Barnesiella intestinihominis,0.0504,0.676,0.953
Acetic acid,Bifidobacterium adolescentis,-0.136,0.258,0.859
Butyric acid,Bifidobacterium adolescentis,-0.0404,0.738,0.964
Isobutyric acid,Bifidobacterium adolescentis,0.0686,0.57,0.927
Isovaleric acid,Bifidobacterium adolescentis,0.0133,0.912,0.992
Propionic acid ,Bifidobacterium adolescentis,-0.138,0.251,0.859
Acetic acid,Bifidobacterium animalis,-0.145,0.227,0.851
Butyric acid,Bifidobacterium animalis,-0.0107,0.93,0.993
Isobutyric acid,Bifidobacterium animalis,-0.114,0.346,0.877
Isovaleric acid,Bifidobacterium animalis,-0.192,0.109,0.845
Propionic acid ,Bifidobacterium animalis,0.0725,0.548,0.923
Acetic acid,Bifidobacterium bifidum,0.133,0.267,0.86
Butyric acid,Bifidobacterium bifidum,-0.0183,0.88,0.986
Isobutyric acid,Bifidobacterium bifidum,0.167,0.164,0.845
Isovaleric acid,Bifidobacterium bifidum,0.22,0.065,0.845
Propionic acid ,Bifidobacterium bifidum,0.144,0.232,0.852
Acetic acid,Bifidobacterium breve,0.102,0.398,0.888
Butyric acid,Bifidobacterium breve,-0.158,0.189,0.845
Isobutyric acid,Bifidobacterium breve,0.167,0.164,0.845
Isovaleric acid,Bifidobacterium breve,0.137,0.256,0.859
Propionic acid ,Bifidobacterium breve,0.0686,0.57,0.927
Acetic acid,Bifidobacterium catenulatum,NA,NA,NA
Butyric acid,Bifidobacterium catenulatum,NA,NA,NA
Isobutyric acid,Bifidobacterium catenulatum,NA,NA,NA
Isovaleric acid,Bifidobacterium catenulatum,NA,NA,NA
Propionic acid ,Bifidobacterium catenulatum,NA,NA,NA
Acetic acid,Bifidobacterium dentium,0.195,0.104,0.845
Butyric acid,Bifidobacterium dentium,-0.258,0.0299,0.845
Isobutyric acid,Bifidobacterium dentium,0.191,0.111,0.845
Isovaleric acid,Bifidobacterium dentium,0.17,0.156,0.845
Propionic acid ,Bifidobacterium dentium,0.146,0.226,0.85
Acetic acid,Bifidobacterium longum,-0.0525,0.664,0.947
Butyric acid,Bifidobacterium longum,-0.00931,0.939,0.994
Isobutyric acid,Bifidobacterium longum,-0.0614,0.611,0.94
Isovaleric acid,Bifidobacterium longum,0.0636,0.598,0.934
Propionic acid ,Bifidobacterium longum,-0.06,0.619,0.941
Acetic acid,Bifidobacterium pseudocatenulatum,0.0714,0.554,0.925
Butyric acid,Bifidobacterium pseudocatenulatum,0.0284,0.814,0.975
Isobutyric acid,Bifidobacterium pseudocatenulatum,0.0663,0.583,0.932
Isovaleric acid,Bifidobacterium pseudocatenulatum,0.109,0.365,0.878
Propionic acid ,Bifidobacterium pseudocatenulatum,0.0727,0.547,0.922
Acetic acid,Bilophila unclassified,0.12,0.32,0.874
Butyric acid,Bilophila unclassified,-0.0485,0.688,0.956
Isobutyric acid,Bilophila unclassified,0.107,0.372,0.883
Isovaleric acid,Bilophila unclassified,0.122,0.31,0.87
Propionic acid ,Bilophila unclassified,0.0744,0.538,0.919
Acetic acid,Bilophila wadsworthia,0.0483,0.689,0.956
Butyric acid,Bilophila wadsworthia,0.0184,0.879,0.986
Isobutyric acid,Bilophila wadsworthia,0.1,0.406,0.891
Isovaleric acid,Bilophila wadsworthia,0.122,0.311,0.87
Propionic acid ,Bilophila wadsworthia,0.126,0.295,0.866
Acetic acid,Blautia hydrogenotrophica,-0.169,0.159,0.845
Butyric acid,Blautia hydrogenotrophica,-0.0793,0.511,0.911
Isobutyric acid,Blautia hydrogenotrophica,-0.11,0.361,0.877
Isovaleric acid,Blautia hydrogenotrophica,-0.17,0.156,0.845
Propionic acid ,Blautia hydrogenotrophica,-0.255,0.0319,0.845
Acetic acid,Blautia producta,0.195,0.103,0.845
Butyric acid,Blautia producta,0.25,0.0357,0.845
Isobutyric acid,Blautia producta,0.16,0.181,0.845
Isovaleric acid,Blautia producta,0.0214,0.859,0.983
Propionic acid ,Blautia producta,0.249,0.0365,0.845
Acetic acid,Burkholderiales bacterium 1 1 47,0.255,0.0322,0.845
Butyric acid,Burkholderiales bacterium 1 1 47,0.0209,0.862,0.983
Isobutyric acid,Burkholderiales bacterium 1 1 47,0.167,0.164,0.845
Isovaleric acid,Burkholderiales bacterium 1 1 47,0.27,0.0229,0.845
Propionic acid ,Burkholderiales bacterium 1 1 47,0.0413,0.732,0.964
Acetic acid,Butyrivibrio crossotus,0.0512,0.671,0.951
Butyric acid,Butyrivibrio crossotus,-0.00632,0.958,0.996
Isobutyric acid,Butyrivibrio crossotus,0.115,0.34,0.877
Isovaleric acid,Butyrivibrio crossotus,0.0941,0.435,0.894
Propionic acid ,Butyrivibrio crossotus,0.0187,0.877,0.986
Acetic acid,C2likevirus unclassified,0.231,0.053,0.845
Butyric acid,C2likevirus unclassified,-0.0108,0.929,0.992
Isobutyric acid,C2likevirus unclassified,0.27,0.0227,0.845
Isovaleric acid,C2likevirus unclassified,0.317,0.00713,0.845
Propionic acid ,C2likevirus unclassified,0.238,0.0454,0.845
Acetic acid,Catenibacterium mitsuokai,-0.103,0.393,0.886
Butyric acid,Catenibacterium mitsuokai,0.155,0.198,0.845
Isobutyric acid,Catenibacterium mitsuokai,-0.025,0.836,0.98
Isovaleric acid,Catenibacterium mitsuokai,0.0428,0.723,0.964
Propionic acid ,Catenibacterium mitsuokai,0.149,0.215,0.85
Acetic acid,Citrobacter freundii,NA,NA,NA
Butyric acid,Citrobacter freundii,NA,NA,NA
Isobutyric acid,Citrobacter freundii,NA,NA,NA
Isovaleric acid,Citrobacter freundii,NA,NA,NA
Propionic acid ,Citrobacter freundii,NA,NA,NA
Acetic acid,Citrobacter unclassified,NA,NA,NA
Butyric acid,Citrobacter unclassified,NA,NA,NA
Isobutyric acid,Citrobacter unclassified,NA,NA,NA
Isovaleric acid,Citrobacter unclassified,NA,NA,NA
Propionic acid ,Citrobacter unclassified,NA,NA,NA
Acetic acid,Clostridiaceae bacterium JC118,-0.0276,0.819,0.977
Butyric acid,Clostridiaceae bacterium JC118,-0.0622,0.606,0.939
Isobutyric acid,Clostridiaceae bacterium JC118,-0.149,0.215,0.85
Isovaleric acid,Clostridiaceae bacterium JC118,0.0192,0.874,0.986
Propionic acid ,Clostridiaceae bacterium JC118,-0.141,0.242,0.856
Acetic acid,Clostridiales bacterium 1 7 47FAA,0.195,0.103,0.845
Butyric acid,Clostridiales bacterium 1 7 47FAA,0.25,0.0357,0.845
Isobutyric acid,Clostridiales bacterium 1 7 47FAA,0.16,0.181,0.845
Isovaleric acid,Clostridiales bacterium 1 7 47FAA,0.0214,0.859,0.983
Propionic acid ,Clostridiales bacterium 1 7 47FAA,0.249,0.0365,0.845
Acetic acid,Clostridium asparagiforme,0.093,0.441,0.895
Butyric acid,Clostridium asparagiforme,0.213,0.0748,0.845
Isobutyric acid,Clostridium asparagiforme,-0.0342,0.777,0.97
Isovaleric acid,Clostridium asparagiforme,0.0653,0.589,0.932
Propionic acid ,Clostridium asparagiforme,0.151,0.208,0.847
Acetic acid,Clostridium bartlettii,0.0909,0.451,0.902
Butyric acid,Clostridium bartlettii,0.0503,0.677,0.953
Isobutyric acid,Clostridium bartlettii,0.137,0.254,0.859
Isovaleric acid,Clostridium bartlettii,0.112,0.351,0.877
Propionic acid ,Clostridium bartlettii,0.162,0.176,0.845
Acetic acid,Clostridium bolteae,0.0556,0.645,0.944
Butyric acid,Clostridium bolteae,0.125,0.298,0.866
Isobutyric acid,Clostridium bolteae,-0.0797,0.509,0.91
Isovaleric acid,Clostridium bolteae,0.0413,0.732,0.964
Propionic acid ,Clostridium bolteae,0.107,0.375,0.883
Acetic acid,Clostridium citroniae,0.272,0.0216,0.845
Butyric acid,Clostridium citroniae,0.195,0.103,0.845
Isobutyric acid,Clostridium citroniae,0.25,0.0355,0.845
Isovaleric acid,Clostridium citroniae,0.121,0.316,0.873
Propionic acid ,Clostridium citroniae,0.314,0.00774,0.845
Acetic acid,Clostridium clostridioforme,0.25,0.0356,0.845
Butyric acid,Clostridium clostridioforme,0.261,0.028,0.845
Isobutyric acid,Clostridium clostridioforme,0.204,0.0887,0.845
Isovaleric acid,Clostridium clostridioforme,0.11,0.36,0.877
Propionic acid ,Clostridium clostridioforme,0.313,0.00788,0.845
Acetic acid,Clostridium hathewayi,0.122,0.313,0.871
Butyric acid,Clostridium hathewayi,-0.00219,0.986,1
Isobutyric acid,Clostridium hathewayi,0.0756,0.531,0.916
Isovaleric acid,Clostridium hathewayi,0.133,0.268,0.861
Propionic acid ,Clostridium hathewayi,0.107,0.376,0.883
Acetic acid,Clostridium leptum,-0.0637,0.598,0.934
Butyric acid,Clostridium leptum,0.0159,0.896,0.989
Isobutyric acid,Clostridium leptum,-0.107,0.376,0.883
Isovaleric acid,Clostridium leptum,0.178,0.137,0.845
Propionic acid ,Clostridium leptum,-0.148,0.219,0.85
Acetic acid,Clostridium nexile,-0.209,0.0797,0.845
Butyric acid,Clostridium nexile,0.172,0.15,0.845
Isobutyric acid,Clostridium nexile,-0.226,0.0583,0.845
Isovaleric acid,Clostridium nexile,-0.242,0.0419,0.845
Propionic acid ,Clostridium nexile,0.0855,0.478,0.908
Acetic acid,Clostridium ramosum,0.195,0.103,0.845
Butyric acid,Clostridium ramosum,0.25,0.0357,0.845
Isobutyric acid,Clostridium ramosum,0.16,0.181,0.845
Isovaleric acid,Clostridium ramosum,0.0214,0.859,0.983
Propionic acid ,Clostridium ramosum,0.249,0.0365,0.845
Acetic acid,Clostridium symbiosum,0.119,0.325,0.874
Butyric acid,Clostridium symbiosum,0.287,0.0151,0.845
Isobutyric acid,Clostridium symbiosum,0.149,0.215,0.85
Isovaleric acid,Clostridium symbiosum,0.0956,0.428,0.894
Propionic acid ,Clostridium symbiosum,0.303,0.0101,0.845
Acetic acid,Collinsella aerofaciens,-0.102,0.398,0.888
Butyric acid,Collinsella aerofaciens,0.145,0.227,0.851
Isobutyric acid,Collinsella aerofaciens,-0.076,0.529,0.915
Isovaleric acid,Collinsella aerofaciens,-0.0814,0.5,0.908
Propionic acid ,Collinsella aerofaciens,-0.0793,0.511,0.911
Acetic acid,Collinsella intestinalis,-0.326,0.00551,0.845
Butyric acid,Collinsella intestinalis,-0.0502,0.678,0.953
Isobutyric acid,Collinsella intestinalis,-0.151,0.207,0.845
Isovaleric acid,Collinsella intestinalis,-0.122,0.311,0.87
Propionic acid ,Collinsella intestinalis,-0.11,0.361,0.877
Acetic acid,Collinsella stercoris,0.152,0.206,0.845
Butyric acid,Collinsella stercoris,0.11,0.361,0.877
Isobutyric acid,Collinsella stercoris,0.122,0.31,0.87
Isovaleric acid,Collinsella stercoris,0.135,0.26,0.859
Propionic acid ,Collinsella stercoris,0.186,0.121,0.845
Acetic acid,Collinsella tanakaei,0.0712,0.555,0.925
Butyric acid,Collinsella tanakaei,0.0513,0.671,0.951
Isobutyric acid,Collinsella tanakaei,0.139,0.248,0.859
Isovaleric acid,Collinsella tanakaei,0.0567,0.639,0.944
Propionic acid ,Collinsella tanakaei,0.0398,0.742,0.966
Acetic acid,Collinsella unclassified,-0.197,0.0998,0.845
Butyric acid,Collinsella unclassified,-0.0112,0.926,0.992
Isobutyric acid,Collinsella unclassified,-0.285,0.0159,0.845
Isovaleric acid,Collinsella unclassified,-0.0733,0.544,0.921
Propionic acid ,Collinsella unclassified,-0.122,0.31,0.87
Acetic acid,Coprobacillus unclassified,0.28,0.0182,0.845
Butyric acid,Coprobacillus unclassified,0.00352,0.977,0.999
Isobutyric acid,Coprobacillus unclassified,0.254,0.0329,0.845
Isovaleric acid,Coprobacillus unclassified,0.14,0.246,0.858
Propionic acid ,Coprobacillus unclassified,0.286,0.0158,0.845
Acetic acid,Coprobacter fastidiosus,-0.0604,0.617,0.941
Butyric acid,Coprobacter fastidiosus,-0.0284,0.814,0.975
Isobutyric acid,Coprobacter fastidiosus,-0.0654,0.588,0.932
Isovaleric acid,Coprobacter fastidiosus,-0.00895,0.941,0.994
Propionic acid ,Coprobacter fastidiosus,-0.185,0.122,0.845
Acetic acid,Coprococcus catus,-0.00549,0.964,0.996
Butyric acid,Coprococcus catus,0.0268,0.825,0.979
Isobutyric acid,Coprococcus catus,0.0678,0.574,0.928
